timestamp,value,classification
1717200000000,72,Greed
1717286400000,73,Greed
1717372800000,73,Greed
1717459200000,73,Greed
1717545600000,75,Greed
1717632000000,78,Extreme Greed
1717718400000,77,Extreme Greed
1717804800000,72,Greed
1717891200000,75,Greed
1717977600000,72,Greed
1718064000000,74,Greed
1718150400000,72,Greed
1718236800000,70,Greed
1718323200000,74,Greed
1718409600000,74,Greed
1718496000000,71,Greed
1718582400000,71,Greed
1718668800000,74,Greed
1718755200000,64,Greed
1718841600000,60,Greed
1718928000000,63,Greed
1719014400000,53,Neutral
1719100800000,55,Greed
1719187200000,51,Neutral
1719273600000,30,Fear
1719360000000,46,Fear
1719446400000,40,Fear
1719532800000,47,Neutral
1719619200000,30,Fear
1719705600000,47,Neutral
1719792000000,53,Neutral
1719878400000,51,Neutral
1719964800000,50,Neutral
1720051200000,44,Fear
1720137600000,29,Fear
1720224000000,26,Fear
1720310400000,29,Fear
1720396800000,28,Fear
1720483200000,27,Fear
1720569600000,28,Fear
1720656000000,29,Fear
1720742400000,25,Extreme Fear
1720828800000,25,Extreme Fear
1720915200000,33,Fear
1721001600000,52,Neutral
1721088000000,65,Greed
1721174400000,69,Greed
1721260800000,61,Greed
1721347200000,60,Greed
1721433600000,74,Greed
1721520000000,74,Greed
1721606400000,70,Greed
1721692800000,71,Greed
1721779200000,69,Greed
1721865600000,68,Greed
1721952000000,68,Greed
1722038400000,72,Greed
1722124800000,71,Greed
1722211200000,74,Greed
1722297600000,67,Greed
1722384000000,61,Greed
1722470400000,52,Neutral
1722556800000,57,Greed
1722643200000,37,Fear
1722729600000,34,Fear
1722816000000,26,Fear
1722902400000,17,Extreme Fear
1722988800000,29,Fear
1723075200000,20,Extreme Fear
1723161600000,48,Neutral
1723248000000,40,Fear
1723334400000,39,Fear
1723420800000,25,Extreme Fear
1723507200000,31,Fear
1723593600000,30,Fear
1723680000000,29,Fear
1723766400000,27,Fear
1723852800000,25,Extreme Fear
1723939200000,31,Fear
1724025600000,28,Fear
1724112000000,30,Fear
1724198400000,26,Fear
1724284800000,39,Fear
1724371200000,34,Fear
1724457600000,56,Greed
1724544000000,54,Neutral
1724630400000,55,Greed
1724716800000,48,Neutral
1724803200000,30,Fear
1724889600000,29,Fear
1724976000000,34,Fear
1725062400000,29,Fear
1725148800000,26,Fear
1725235200000,26,Fear
1725321600000,26,Fear
1725408000000,27,Fear
1725494400000,29,Fear
1725580800000,22,Extreme Fear
1725667200000,23,Extreme Fear
1725753600000,29,Fear
1725840000000,26,Fear
1725926400000,33,Fear
1726012800000,37,Fear
1726099200000,31,Fear
1726185600000,32,Fear
1726272000000,50,Neutral
1726358400000,51,Neutral
1726444800000,39,Fear
1726531200000,33,Fear
1726617600000,45,Fear
1726704000000,49,Neutral
1726790400000,54,Neutral
1726876800000,54,Neutral
1726963200000,52,Neutral
1727049600000,50,Neutral
1727136000000,54,Neutral
1727222400000,59,Greed
1727308800000,50,Neutral
1727395200000,61,Greed
1727481600000,64,Greed
1727568000000,63,Greed
1727654400000,61,Greed
1727740800000,50,Neutral
1727827200000,42,Fear
1727913600000,37,Fear
1728000000000,41,Fear
1728086400000,49,Neutral
1728172800000,50,Neutral
1728259200000,50,Neutral
1728345600000,49,Neutral
1728432000000,49,Neutral
1728518400000,39,Fear
